OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
560,15000US230159751004,1301,236,209,46.7,65313.0,0.25162689804772237,0.11307420474721872,0.05123674902608348,0.0,65313.0,0.3346613539150172,0.06521739121573725,0.6696997264151958,0.06395348827913737,0.0566860464292354,0.07848837197894132,0.061855670054039906,0.08764940221583785
561,15000US230159755004,854,150,95,40.8,50000.0,0.0,0.2530120474306866,0.12349397553164465,0.0,50000.0,0.34274193410184706,0.030054644726626653,0.4966078690683747,0.0,0.16619718263043048,0.504225350692323,0.09305760695264756,0.08064516096514047
562,15000US230159753004,1126,191,411,56.1,44375.0,0.18694362017804153,0.29871977197906147,0.16642958724547713,0.0,44375.0,0.5172413782611737,0.1089108908195275,0.42259414181737015,0.0,0.06944444425154321,0.06388888871141975,0.1592482688830383,0.10750507077585178
563,15000US230159756003,0,0,0,,,,0.9999999787234047,0.9999999787234047,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,15000US230159751002,1654,309,275,45.4,51199.0,0.2191780821917808,0.13712807226762216,0.02846054330082724,0.0,51199.0,0.3523238375527379,0.05079006766276516,0.6217543855285934,0.0,0.005945303203394408,0.1153388821458515,0.06751824813411299,0.15142428762904905
565,15000US230159755005,835,171,221,50.8,51490.0,0.06535947712418301,0.38474576205975297,0.3186440672565355,0.003389830502729101,51490.0,0.4931129462999643,0.02688172035784484,0.5232067503189779,0.013812154657977473,0.08839778981105582,0.12707182285339275,0.1341317363663093,0.052341597651951524
566,15000US230159751003,881,159,178,49.9,62727.0,0.1423728813559322,0.5707196022695786,0.5421836221560997,0.008684863512797935,62727.0,0.38728323587490393,0.0481651375042084,0.5821094785285588,0.04337349387138917,0.06506024080708375,0.0987951804848309,0.12939841074983155,0.10982658927795784
567,15000US230159756006,877,80,238,56.4,46935.0,0.16741071428571427,0.1746031742952325,0.10582010563347424,0.01763668427224571,46935.0,0.4914529904028782,0.02056555264636105,0.48808030051683776,0.1259842516378366,0.18110236172939012,0.020997375272972768,0.01596351195443157,0.14529914498867705
568,15000US230159751005,1035,242,247,47.1,51875.0,0.4089775561097257,0.07048458134254497,0.04405286333909061,0.013215859001727183,51875.0,0.4999999988151659,0.1253012045173465,0.49463647140091005,0.0826446278715024,0.03856749300670112,0.11570247902010336,0.1603864732749889,0.2037914687113946
569,15000US230159752001,1947,354,426,40.8,58043.0,0.43612903225806454,0.045454545402892566,0.0,0.0,58043.0,0.3904761900113379,0.044263775931107696,0.682911782428802,0.01795841208132475,0.029300567080056173,0.027410207913600933,0.05855161784357903,0.11904761890589569
570,15000US230159758001,1518,382,349,47.3,51818.0,0.09015025041736227,0.2697368418094991,0.2258771927347838,0.0,51818.0,0.3408408403290678,0.04038997208859335,0.60847457575553,0.033381712578546135,0.03483309138630901,0.11756168342879292,0.21146245045358203,0.06156156146912679
571,15000US230159753003,875,174,165,46.4,40000.0,0.140625,0.33545309962567077,0.23370429215627297,0.0,40000.0,0.3253588508962707,0.07758620672934007,0.639118456419947,0.07242990637282733,0.16355140148702943,0.03738317748274959,0.06968641106888919,0.08612440170783636
572,15000US230159756001,894,211,223,47.5,55750.0,0.14772727272727273,0.47285714218163266,0.4171428565469388,0.0,55750.0,0.43902438905413443,0.062350119754556066,0.5751724129997622,0.020460358003937702,0.023017902754429918,0.12276214802362623,0.02149321264536967,0.11382113790292375
573,15000US230270430003,1344,324,196,33.5,33724.0,0.05701754385964912,0.13711911338349153,0.06925207746640986,0.0,33724.0,0.2584269658773243,0.059238363809254777,0.6950980385342176,0.0,0.15742128911930842,0.16191904023700293,0.14481707306035282,0.056179775190722675
574,15000US230179651001,211,10,66,60.9,40625.0,0.2823529411764706,0.8835164825455862,0.8439560430286197,0.0021978021953870308,40625.0,0.471698108757565,0.0699999993,0.4878048756692445,0.04301075222569084,0.16129032084634065,0.1182795686206498,0.14218009411289054,0.0754716974012104
575,15000US230159756004,646,8,341,66.0,58854.0,0.05929919137466307,0.5973360649617458,0.48463114704443533,0.0,58854.0,0.7251908378493872,0.0783410134638663,0.3401253913164179,0.04999999975,0.1599999992,0.20999999895000002,0.10371517011808798,0.0992366409688635
576,15000US230159762002,451,18,196,62.7,74643.0,0.0379746835443038,0.5411089855810536,0.4627151042777914,0.0,74643.0,0.5166666645138889,0.05970149224029109,0.4780600450853117,0.021164021052042216,0.15873015789031664,0.16402116315332718,0.10377358466091136,0.1416666660763889
577,15000US230159762004,495,74,182,52.8,46000.0,0.022099447513812154,0.5907473299097022,0.5444839847962919,0.0,46000.0,0.5739130409829868,0.06635071058601559,0.49530516315656065,0.1319796947615244,0.09644670001803705,0.223350252673349,0.10303030282216101,0.06956521708884689
