OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_poverty
69,15000US230039503004,1043,246,302,47.8,38250.0,0.7125382262996942,0.10821643264886487,0.07014028042056056,38250.0,0.3617977519959601,0.06741573021083197,0.6082004548881543,0.05424769697620502
70,15000US230039511001,932,232,117,43.2,61979.0,0.37359550561797755,0.05699481850519477,0.033678756389433274,61979.0,0.26648351575141893,0.07677543171444255,0.7098092633381345,0.06652360507883734
71,15000US230039521001,716,196,78,34.2,43077.0,0.5422535211267606,0.18378378328707085,0.02162162156318481,43077.0,0.26490066137450113,0.10498687636486384,0.7016574572713491,0.2653631281210012
72,15000US230039523002,678,164,106,44.4,40921.0,0.6008230452674898,0.22715404640429754,0.10443864202496438,40921.0,0.40540540403579256,0.0792682924412552,0.6212121200355831,0.12125748484841693
73,15000US230039507001,818,183,125,45.0,40250.0,0.4880546075085324,0.24027459899250664,0.16247139550921877,40250.0,0.35240963749274207,0.05609756083878644,0.6083086044387113,0.12469437637567925
74,15000US230039501003,636,105,147,51.9,46458.0,0.4340425531914894,0.4057017534962681,0.25657894680574794,46458.0,0.5129151272586158,0.07876712301792081,0.540740739739369,0.0770440250360943
75,15000US230039507002,734,108,182,52.3,32273.0,0.5811688311688312,0.303999999392,0.221999999556,32273.0,0.471264366461884,0.17152103504362123,0.47175572447060193,0.14577656655888752
76,15000US230039523004,151,0,50,62.2,46250.0,0.189873417721519,0.7755102021032904,0.7321428552751458,46250.0,0.4886363580836778,0.21818181619834712,0.7284768163677032,0.10596026419893866
77,15000US230039526002,675,112,155,49.9,31161.0,0.6535087719298246,0.36739130354914934,0.27826086896030244,31161.0,0.51202748964939,0.1423611106168017,0.5070422526284467,0.1007407405914952
78,15000US230039510001,612,119,148,47.8,43375.0,0.6153846153846154,0.23615160281005365,0.0524781339577897,43375.0,0.4770992348202319,0.06976744159004868,0.5170340671001321,0.14379084943825024
79,15000US230039509001,1249,266,288,47.8,31042.0,0.568445475638051,0.40978593230398985,0.34760448486482726,31042.0,0.4645941270041552,0.06857142844081633,0.5229083660130395,0.12211221112036945
80,15000US230039518003,931,152,110,52.7,52413.0,0.4942528735632184,0.08227848083907494,0.06118143447008136,52413.0,0.28275862003963537,0.05166051650985144,0.6658476650296712,0.033297529502365704
81,15000US230079710004,842,180,102,41.8,41500.0,0.3125,0.45739130355236296,0.40695652103137997,41500.0,0.4006410243569198,0.1253071249992454,0.5932944597765387,0.18052256510626774
82,15000US230079706021,1328,287,232,45.5,40170.0,0.42455242966751916,0.453020133721454,0.34899328820023123,40170.0,0.4662576677581643,0.15289982398435883,0.5138764543295644,0.21401370890021804
83,15000US230159758002,975,239,212,41.5,42000.0,0.0,0.30999999948333334,0.15833333306944444,42000.0,0.33333333252818037,0.03333333327160494,0.7336956511770439,0.16615384598343194
84,15000US230159755001,1872,348,287,48.6,55429.0,0.21456953642384105,0.14428857700973088,0.09619238467315393,55429.0,0.27166276314793586,0.06844444438360493,0.7115749521115907,0.07058189651369509
85,15000US230159754001,576,95,95,49.7,55673.0,0.08394160583941605,0.12844036657969307,0.08256880708694554,55673.0,0.28771929723607265,0.07017543839129989,0.7110187095405016,0.07812499986436632
86,15000US230079706012,1148,170,257,49.9,45625.0,0.09821428571428571,0.7075420506198903,0.6608790012691921,45625.0,0.3413729121681393,0.06630581858415992,0.7345924445978206,0.05923344942575483
87,15000US230079701012,493,84,88,51.5,56167.0,0.02403846153846154,0.8988399067754804,0.8960556840389533,56167.0,0.2431192649398199,0.04026845624070988,0.7163461521241679,0.13598326331384256
88,15000US230079701022,745,137,137,45.4,38654.0,0.35023041474654376,0.6515679434941138,0.5842044127941877,38654.0,0.43666666521111114,0.2553699277914799,0.6598425186459173,0.17503392106508286
89,15000US230159751001,494,101,74,49.0,38816.0,0.34946236559139787,0.28169013985320374,0.1654929571637572,38816.0,0.34803921398019994,0.09338521364441552,0.6299019592404363,0.06391752564140717
90,15000US230159751005,1166,284,167,40.7,55375.0,0.3875968992248062,0.177042801211979,0.0700389103695741,55375.0,0.36406619299275134,0.0738255032318364,0.6267087269961001,0.14665523143511558
91,15000US230159751004,1245,203,201,44.2,49474.0,0.3424036281179138,0.1824561400307787,0.08070175424438289,49474.0,0.25965665180331193,0.10773480648102927,0.6734883714665224,0.0883838383094412
92,15000US230159755002,1745,507,194,39.3,52625.0,0.18327402135231316,0.11022576346583564,0.0,52625.0,0.20895522356872354,0.038745387418131556,0.8281130627745507,0.0785758133342076
93,15000US230159755003,1270,322,221,40.3,37382.0,0.17647058823529413,0.0687732340729122,0.0687732340729122,37382.0,0.5489021945131692,0.14897260248463595,0.5782178212096853,0.21359999982911998
94,15000US230159752001,2293,447,348,39.0,43099.0,0.28344370860927154,0.12751004003262045,0.042168674656457156,43099.0,0.292289988156168,0.09822747407811855,0.7190653209139324,0.07079646014566529
95,15000US230159753003,1007,252,125,46.5,38403.0,0.06774193548387097,0.21129326008871901,0.15846994506653928,38403.0,0.31177829027302933,0.08872458393951094,0.6796482403522007,0.06852035742947334
96,15000US230159754003,1088,228,191,46.5,58750.0,0.04656862745098039,0.29367469835289955,0.1295180720940993,58750.0,0.39658848529512053,0.07029876964798107,0.6336302888266924,0.07175712964879748
97,15000US230159753001,908,134,197,49.8,50714.0,0.16759776536312848,0.45280437694554804,0.3953488366684694,50714.0,0.2799999993,0.02292768955391942,0.6982758612090199,0.03193832595601506
98,15000US230159752002,1759,425,210,43.1,43859.0,0.2170138888888889,0.12621359207983787,0.0,43859.0,0.2541666663136574,0.0637499999203125,0.5751258083572064,0.13530415000835466
99,15000US230159758001,1449,241,208,42.1,53000.0,0.043993231810490696,0.21397379889304172,0.1812227072257394,53000.0,0.2319444441222994,0.0,0.654733491921453,0.0931677017990561
100,15000US230159751002,1636,342,234,43.8,55714.0,0.3173758865248227,0.14630872463582723,0.04697986570875186,55714.0,0.3600628925156244,0.06180469708058752,0.6064467761570863,0.1076923076260355
101,15000US230159754002,1728,359,445,48.2,47656.0,0.08375209380234507,0.28476190449070293,0.17333333316825394,47656.0,0.4114513975879475,0.05389908250699647,0.6273381290450805,0.04526987809328504
102,15000US230159751003,847,150,137,51.3,44500.0,0.10153846153846154,0.5621301768495501,0.5514792892881902,44500.0,0.4216216204821037,0.042780748548714574,0.5267605626383655,0.0791027153729602
103,15000US230159753002,643,155,59,45.0,63438.0,0.0234375,0.4052287572870833,0.23311546790170923,63438.0,0.24175824087268044,0.010958904079564647,0.7227722757964905,0.13063763587770197
104,15000US230159753004,1234,363,366,38.0,48625.0,0.10684931506849316,0.26562499958496094,0.1781249997216797,48625.0,0.5021276585061114,0.10043668100341337,0.503850384484213,0.1224662161127819
105,15000US230159762004,453,62,171,50.6,41071.0,0.03067484662576687,0.5717171705621875,0.5191919181430467,41071.0,0.4811320732022072,0.09289617435575862,0.4609571776802086,0.013245033083344298
106,15000US230159756001,824,189,163,47.6,50227.0,0.17475728155339806,0.5195369022872114,0.4442836462456098,50227.0,0.39457831206452315,0.054945054794106996,0.5473684202295211,0.067733990064367
107,15000US230159755005,804,94,213,53.2,68083.0,0.15337423312883436,0.3732638882408613,0.3315972216465326,68083.0,0.4681440430245317,0.05643340845048892,0.5946308716850592,0.10473815448287013
108,15000US230159755004,720,74,144,48.7,30000.0,0.06306306306306306,0.3242630378134625,0.16780045313423933,30000.0,0.5704697967433899,0.06940063069589707,0.47313432765203833,0.13029315939691669
109,15000US230159900000,0,0,0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
110,15000US230159756006,961,167,235,53.3,64671.0,0.0,0.1348088528474671,0.1348088528474671,64671.0,0.4534883710383991,0.04962779144012955,0.5006211173905327,0.04474505718548902
111,15000US230159756004,520,34,262,65.2,48938.0,0.1320754716981132,0.6810810803447772,0.5848648642325786,48938.0,0.5627118624992818,0.0,0.363999999272,0.04807692298446745
112,15000US230159762002,656,52,276,59.7,85227.0,0.02032520325203252,0.4593572770144475,0.4196597345564088,85227.0,0.5594405574844736,0.045112781785290296,0.4552980124912285,0.034645669236778476
113,15000US230159756003,0,0,0,,,,0.9999999833333336,0.9999999833333336,,0.0,0.0,0.0,0.0
114,15000US230159757001,976,171,314,52.8,51771.0,0.024793388429752067,0.5677879708789113,0.5076452594213606,51771.0,0.49999999882075474,0.08536585345032718,0.4910179634838108,0.12124352319042123
115,15000US230159756002,1282,156,390,56.2,55682.0,0.24452554744525548,0.44995794747690665,0.3759461729386491,55682.0,0.4709480115123119,0.025723472627454225,0.5394622718651672,0.1372854913125698
116,15000US230159762003,509,19,200,59.5,50368.0,0.0958904109589041,0.7356435636280757,0.7188118804764239,50368.0,0.5093632939724221,0.03864734280846694,0.4156626497677457,0.14257425714341732
117,15000US230159758003,700,25,380,66.2,54417.0,0.0,0.6414922651123819,0.55686988120394,54417.0,0.7182741098520962,0.0,0.26518518479231823,0.12285714268163266
118,15000US230159752003,1030,138,230,51.1,36838.0,0.24130434782608695,0.25722145769295535,0.09215955970817118,36838.0,0.3370370364128944,0.09747899143280842,0.6439393932424898,0.14563106781977564
