OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
602,15000US230010400002,2333,603,244,,74074.0,0.11931119311193111,0.03662597110252389,0.0,74074.0,0.26728110568285585,0.062215477949760636,0.7253714910702413,0.006472491904148469,0.021035598688482524,0.3066343039590337,0.06900985852164172,0.07488479254045531
603,15000US230010104002,637,136,117,,44792.0,0.11875,0.0,0.0,44792.0,0.34782608544423443,0.021097046324485037,0.4762845840389633,0.0,0.0,0.12068965465219976,0.0626118066858465,0.09999999956521739
604,15000US230010440003,1088,244,244,,44904.0,0.4,0.1456102780607917,0.07494646664893691,44904.0,0.5714285699964197,0.10058027059849077,0.5841807903003607,0.0,0.06021505363394612,0.1720430103827032,0.12290502781852417,0.14285714249910492
605,15000US230010420004,1540,346,228,,59191.0,0.17647058823529413,0.12242268025460995,0.06185567002338187,59191.0,0.368575623541005,0.09445100343040023,0.6830645155781737,0.0,0.022164276372667175,0.2698826593613003,0.06883116878647326,0.09691629941715668
606,15000US230010460002,1776,468,186,,68542.0,0.1419656786271451,0.08723135260779855,0.0543615675671788,68542.0,0.217451523244527,0.0930232557198956,0.7282768772251275,0.0,0.035674470417308285,0.07023411363407568,0.08144796375483712,0.08587257605834824
607,15000US230010106001,1113,317,141,,46736.0,0.22743682310469315,0.05321507748732799,0.0,46736.0,0.2107728332300402,0.13207547149044738,0.7419354830162034,0.0,0.1195652171747007,0.11775362297508402,0.13836477974989686,0.18501170916859086
608,15000US230010420002,1560,280,325,,54125.0,0.21913043478260869,0.04888268149597391,0.04888268149597391,54125.0,0.3847283401105311,0.08743169389351728,0.6683710732882606,0.0,0.027544910146652803,0.31616766429201476,0.16558441547689323,0.11600587354477845
609,15000US230010420001,1509,459,119,,90972.0,0.10918114143920596,0.11992263032896977,0.05609284321838909,90972.0,0.25494505438473614,0.02833530102912007,0.8058991429058999,0.012150668271991898,0.08505467790394329,0.12758201685591491,0.08565737046105087,0.16703296666586162
610,15000US230010206001,1271,170,333,,43448.0,0.04487179487179487,0.062397372639741586,0.0,43448.0,0.4098073547989363,0.14163090108493434,0.6337262006947177,0.0,0.051666666580555555,0.1066666664888889,0.15735641214999493,0.06304728535368251
611,15000US230010430002,1010,233,150,,47292.0,0.21379310344827587,0.17558886472036644,0.10920770854559378,47292.0,0.3350649341946365,0.0936329586261555,0.6544117639039072,0.06818181804094665,0.057851239549894136,0.07644628083378868,0.16138613845407312,0.1766233761646146
612,15000US230010420003,1103,320,103,,73686.0,0.3145780051150895,0.19111969075073418,0.1370656368010316,73686.0,0.21718377036471653,0.10600706695051755,0.6505747118958911,0.031620553297192586,0.09881422905372682,0.22924901140464624,0.10472659860544337,0.16467780390291695
613,15000US230010203003,815,153,76,,12426.0,1.0,0.20783645620470792,0.0,12426.0,0.4107526872887039,0.4107883800382225,0.3559822742156835,0.0,0.2112676041460028,0.2746478853898036,0.6527607353953856,0.6602150523436235
614,15000US230010204001,639,96,129,,34965.0,0.21052631578947367,0.17492711319263232,0.0,34965.0,0.4416961115134413,0.013550135464633779,0.6601073333450674,0.0,0.019230769177937448,0.06593406575292839,0.24569640024147668,0.4558303870818714
615,15000US230010207002,2468,494,638,,49500.0,0.060810810810810814,0.08108108101260043,0.0,49500.0,0.3998161761031101,0.020117351198560476,0.5932371951301655,0.0,0.0727117193561063,0.0940975191667258,0.04781199349764506,0.12867647046996647
616,15000US230010465003,2826,639,388,,49846.0,0.46859421734795614,0.0,0.0,49846.0,0.28111401193984853,0.09943001893639643,0.7061717349256835,0.03516174399777655,0.033755274237865486,0.22081575230603673,0.10972017669008831,0.13141862477683322
617,15000US230010103001,722,253,111,,25800.0,0.0,0.18385650182991817,0.0,25800.0,0.23076923013524936,0.13294797649437,0.6851485134947555,0.0,0.08333333305555556,0.299999999,0.5166666659490741,0.502747251366079
618,15000US230010106002,1882,257,328,,61729.0,0.15274151436031333,0.0255516840585927,0.0,61729.0,0.30274135839959315,0.024247491618522164,0.7266099631065552,0.0,0.08054841466962431,0.11139674369203363,0.06010638294675192,0.042908224025139184
619,15000US230010103002,1569,455,168,33.0,24845.0,0.18275862068965518,0.09068010064146083,0.0,24845.0,0.33102493028943913,0.12608158204439854,0.7102721679453272,0.0,0.19801980170011343,0.13012729826007455,0.2989165071389952,0.3448753457827211
620,15000US230010302003,908,188,94,,54766.0,0.35658914728682173,0.0,0.0,54766.0,0.227963525142968,0.13768115917086746,0.7479674786612907,0.0,0.0,0.05882352928818586,0.017917133238614633,0.04863221869716651
621,15000US230310253002,1192,245,150,,83250.0,0.0,0.018789144010878615,0.0,83250.0,0.23404255269352647,0.02252252248870492,0.681678607285897,0.012288786463458086,0.029185867850712952,0.14285714263770025,0.036912751646885275,0.06595744666817564
622,15000US230310253001,1914,298,430,50.0,57176.0,0.11038961038961038,0.08429118763181202,0.014048531271968671,57176.0,0.4086471402947739,0.07817589568059077,0.5524895017681526,0.0,0.028268551203452827,0.08951707881093394,0.15901455758173877,0.08647140852653917
623,15000US230310254002,1547,81,176,,63107.0,0.07386363636363637,0.25736434068625685,0.11007751920918214,63107.0,0.3862212935569493,0.08196721302517244,0.6203389826302786,0.017857142835884354,0.15119047601048752,0.1321428569855442,0.11146161923085003,0.08559498938289146
