OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
596,15000US230310061012,778,91,251,60.3,42614.0,0.0,0.10840707940617902,0.10840707940617902,42614.0,0.44416873338915946,0.053984575766086666
597,15000US230310061014,659,41,142,55.7,21492.0,0.11650485436893204,0.2365988905053625,0.1903881697035339,21492.0,0.3559322025280092,0.110773899680161
598,15000US230310340022,793,81,216,53.2,74886.0,0.09269662921348315,0.23480083808217853,0.1635220122358029,74886.0,0.3479452045261775,0.05926860017746709
599,15000US230310061023,1095,163,143,47.4,27500.0,0.15730337078651685,0.32550335515855144,0.26342281834996173,27500.0,0.4850746256590183,0.24566210023227203
600,15000US230310061025,489,74,67,38.7,42308.0,0.0,0.2861189793594363,0.2861189793594363,42308.0,0.2499999990079365,0.06952965220955082
601,15000US230310051001,1744,426,168,39.8,71364.0,0.05504587155963303,0.0,0.0,71364.0,0.2164179101247494,0.0
602,15000US230310280011,2223,641,134,37.9,90893.0,0.058503401360544216,0.0409145607209211,0.0,90893.0,0.155583437696884,0.03823661716678515
603,15000US230310340012,1174,202,394,54.6,49018.0,0.22572815533980584,0.36895674253313393,0.3333333329092451,49018.0,0.5846774181760536,0.02129471889157179
604,15000US230310302011,1679,413,240,36.4,36712.0,0.09203980099502487,0.12872467207541755,0.02026221690076017,36712.0,0.3187414496323646,0.10541989273054204
605,15000US230310302025,1581,424,87,35.6,18997.0,0.1656441717791411,0.08363201901597131,0.0,18997.0,0.3728813554460478,0.39721695104540355
606,15000US230310380021,1419,294,221,44.9,63750.0,0.06335616438356165,0.03405572750146172,0.0,63750.0,0.32371794819916994,0.04439746297082631
607,15000US230310380014,1028,68,170,35.1,31719.0,0.06302521008403361,0.0988372091107806,0.0329457363702602,31719.0,0.28387096713146026,0.028537455376293156
608,15000US230310360012,1496,279,239,40.7,50169.0,0.06419753086419754,0.6782044344628423,0.5722011895228766,50169.0,0.46218487317279855,0.0768716577026259
609,15000US230310360014,1451,192,411,48.3,58500.0,0.06133333333333333,0.3013555784136021,0.23357664209220372,58500.0,0.44776119336155046,0.06555090650937873
610,15000US230310252026,577,157,11,37.3,26406.0,0.0,0.2646239546946408,0.0,26406.0,0.0,0.05025996525084928
611,15000US230139702005,1390,266,259,49.6,68804.0,0.028056112224448898,0.15472779347460203,0.15472779347460203,68804.0,0.4152542365843149,0.027338129476735158
612,15000US230139702004,395,22,73,48.6,40469.0,0.2570093457943925,0.521252795254468,0.521252795254468,40469.0,0.26168224176784,0.18227848055119372
613,15000US230139702002,778,109,403,65.8,43966.0,0.061068702290076333,0.3593220332892847,0.23728813519103706,43966.0,0.6269841253254388,0.02380952377802973
614,15000US230139702003,1686,339,501,54.4,34673.0,0.03731343283582089,0.2057803465829129,0.05549132941561696,34673.0,0.45414847095466016,0.1723518849956003
615,15000US230139900000,0,0,0,,,,0.0,0.0,,0.0,0.0
616,15000US230139710003,569,130,143,47.5,50859.0,0.20408163265306123,0.4392764846530323,0.3229974151860532,50859.0,0.4423963113253626,0.10498220621889287
617,15000US230139710002,1240,202,281,47.4,47000.0,0.20185614849187936,0.3601841192633094,0.29459148412590164,47000.0,0.3705035964559288,0.18629032243041102
618,15000US230139703001,1521,333,196,44.0,57519.0,0.14768683274021352,0.21677419326867847,0.2012903223209157,57519.0,0.22570016437281687,0.04479578389670897
619,15000US230139703004,1568,280,241,48.7,54390.0,0.14183123877917414,0.1374474051368199,0.1374474051368199,54390.0,0.28130081255073036,0.06778566812925392
620,15000US230050001001,540,36,58,32.0,40407.0,0.125,0.12499999964488637,0.0,40407.0,0.25649350566073537,0.08703703687585734
621,15000US230050001003,714,99,89,33.4,16276.0,0.0,0.020790020746798293,0.020790020746798293,16276.0,0.28025477647504293,0.3039215682017905
622,15000US230050001002,1204,194,40,29.0,29735.0,0.0,0.0,0.0,29735.0,0.12569316058097382,0.4011627903644827
623,15000US230050002003,1444,309,110,36.2,33438.0,0.030303030303030304,0.02777777773716699,0.0,33438.0,0.16541353358584432,0.16551246525934038
624,15000US230050002001,442,14,131,58.2,43625.0,0.0,0.18075801696572008,0.13994169055410585,43625.0,0.39501779218854877,0.045248868675907536
625,15000US230050002002,758,80,45,31.3,52888.0,0.0,0.037356321731734705,0.0,52888.0,0.13432835780797506,0.15109890089134767
626,15000US230050005002,1332,459,140,27.9,16027.0,0.0,0.08828250387113563,0.0,16027.0,0.2852112671035013,0.6216216211549387
627,15000US230050003001,1463,143,197,43.1,14567.0,0.0,0.14406130257160052,0.04061302678880228,14567.0,0.255147716870951,0.41626794229920167
628,15000US230050003002,1816,111,118,29.2,41905.0,0.0,0.19502074661822857,0.09958506210292523,41905.0,0.14261168360376,0.11279069754326664
629,15000US230050005001,1144,404,64,21.4,26169.0,0.0,0.0,0.0,26169.0,0.21372031605878544,0.44667832128786855
630,15000US230050006001,1761,299,79,38.5,26972.0,0.0,0.11651376136099653,0.0,26972.0,0.1630321909002781,0.4406587163880416
631,15000US230110104002,1343,180,445,52.6,22813.0,0.5058548009367682,0.08531317485387346,0.03347732177810225,22813.0,0.5997638717830415,0.20583717342101598
632,15000US230110104001,1208,137,204,42.2,31280.0,0.328125,0.07792207777751006,0.0,31280.0,0.24346076409766446,0.43294701950914977
633,15000US230110105003,1187,260,111,34.9,31905.0,0.24789915966386555,0.03759398489174063,0.0,31905.0,0.2167968745765686,0.233361415136174
634,15000US230110105001,1028,179,115,47.3,52560.0,0.21963824289405684,0.0,0.0,52560.0,0.2619047613378685,0.13622902257035635
635,15000US230110105002,1800,414,387,40.5,39712.0,0.1278538812785388,0.11938534264848068,0.02245862881506072,39712.0,0.37583892567001487,0.15361977624860518
636,15000US230110108012,1130,290,193,41.4,61587.0,0.13513513513513514,0.2701688550278258,0.21200750429266885,61587.0,0.3367609245841621,0.06371681410290547
637,15000US230110190001,904,198,149,41.2,45227.0,0.30124223602484473,0.15222482399947349,0.10772833698424276,45227.0,0.38397789949177374,0.04772727267303719
